ID,Location,Catalogue or inventory number or Provenance,Ht (= height),Diam,Plate reference,Description
902,Salerno, Dr. J. Chamay. ,Ht. 10, , ,
903,Rome, private coll. (2) 4,Ht. 11, , ,"The subject of the obverse is the Rape of Ajax,22 a clever parody of that stock theme, the Rape of Cassandra. It was a bold stroke so to transpose the roles, but the "
904,Leningrad,4802,Ht. 11, , ,"p. 15), and the priestess a hand, in amazement at what is taking place. Ajax, for all his armour, has run to the Palladion for help, and clasps it in a frenzy of terror; Cassandra grasps his helmet firmly with her left hand, presses her foot into the small of his back and raises her right hand to deal him a rousing blow. It is a splendid scene—the figures are wonderfully vivid and the contrast of expressions is admirably portrayed. The drawing both of figures and drapery is excellent. Cassandra (..ZZANAPH) wears a short-sleeved chiton, and has her hair done up above the forehead into a most curious bunch, tied round with a white fillet. Ajax wears a "
905,Berlin,20188,Ht. 20, , ,"plumes. He has a very aquiline nose, and large teeth, well visible in his gaping mouth. His rather shaggy beard and moustache find a counterpart in the bust of Pan on the Hesperides lekythos. Like Athena on the Cadmus krater, he wears a corselet over a short-sleeved chiton. The Palladion has a similar helmet, and a very stiff, archaic-looking Doric costume, shaded in orange with a dotted purple stripe down the centre. It stands upon a pedestal coloured yellow with orange shading. The old ""Gabrici, 'Frammento inedito di un vaso di Asteas', in Ausonia 5, 1910, pp. 56—68; Rizzo, 'Nuovi "
906,Once Basel Market,39126,Ht. 11, , ,
907,Madrid,6113,Ht. 11, , ,(no. 125) fails to take into account the relationship between the height and diameter of calyx-kraters at 
908,Madrid,22325,Ht. 11, , ,"be unlikely to exceed 36 or 37 cm., which, seeing that the actual height of the fragment combined with that of the foot comes to c. 30 cm., would hardly leave enough space to complete the figures and insert a stage as well (unless it was very much lower than that suggested by Rizzo). 22That the subject is not the theft of the Palladion was shown by Gabrici, op. cit., p. 61; on Ajax and Cassandra see, in particular, Davreux, Cassandre (1942), pp. 138-211; Moret, L'llioupersis dans la ceramique italiote (1975), pp. 11 ff. The Villa Giulia fragment is no. 15 in the latter's list on p. 11 and "
909,Paestum, Mus. Prov. PC 1322, , , ,"priestess (IHPHA) wears a flowing chiton with a dot-stripe border to the overfold and a shawl bunched up round her neck. The folds are pictorially rendered with bold strokes (cf. the maenad on the reverse of the Europa krater), as are the wrinkles on "
910,Paestum, private coll. (2) 4,Ht. 10, , ,"visible teeth and a shock of unkempt white hair are her most striking features. In her left hand she carries a huge temple key; her right is raised in a gesture of surprise. The whole picture is framed between two reserved bands with a small white cap on top, meant, as on the Cadmus krater, to suggest a column. Asteas has signed it with a painted inscription (AZZTEAZ EI~PA0E) above the head of the Palladion—the other inscriptions are all incised. On the reverse there was evidently a Dionysiac scene; all that remains are the feet of a papposilen, and a piece of the fawn-skin he was wearing. On the main fragment is a hanging wreath and a piece of a white fillet, probably attached to the thyrsus carried by the silen. Old silens occasionally figure on the vases of Asteas, and there are busts of them on the Europa, Cadmus and Phrixos kraters. We  may "
911,Paestum, Charles Ede Ltd.,Ht. 17, ,PLATE 143 h ,"cannot have been a row of busts, or some trace of them would have remained on the main fragment. In style this vase belongs to the period when the genius of Asteas was at its best. It breathes originality, and is entirely without the heaviness of his earlier work or the stereotyped repetitions we shall find in his later. The drawing gives a particular impression of clarity, enhanced by the bright pink of the fired clay which contrasts well with the black around it. It should probably be dated not long after 350 B.C. "
912,Madrid, from Oliveto Citra,Ht. 14, , ,
913,Once Basel Market, Villa Giulia,Ht. 18, , ,"in so doing was followed by Hoppin and others; Hirzel in 1864 (AdI, p. 336) labelled it as uncertain, but quoted Schulz (Amazonenvase, p. 14) as casting doubt upon that of "
914,Once New York Market,376 (St. 1793). ,Ht. 13, , ,"S. Agata, and it appears as no. 53 in a catalogue of the vases unearthed there and in "
915,Paestum,3605. ,Ht. 13, , ,"42 in the catalogue of the Museo di Vecchi Studi (Doc. Ined. iv, p. 239). The fight between Cadmus and the serpent which guarded the spring at Thebes is a comparatively rare subject on South Italian vases, though a number of new examples have turned up in recent years.23 Our vase shows the fight in full swing, with Cadmus (KAAMOZ) raising a stone in his right hand to deal the coup de grace to the large serpent which is coiled, ready to strike, below an overhanging rock above the spring, round which grow some shrubs and smaller plants. Beside Cadmus stands Athena, with helmet and spear; she wears ""The ancient sources for the Cadmus legend are quoted in the articles by Crusius in ML ii, "
916,Paestum, MuM. ,Ht. 17, , ,"B. Edwards, Kadmos the Phoenician (Amsterdam, 1979), esp. Chapter II, pp. 31-2. Lists of South Italian vases illustrating Cadmus and the serpent will be found in Vian, pp. 35 ff., nos. 16-17, 19-20 and in "
917,Madrid,11370 (L. 364). ,Ht. 16, , ,
918,Bochum,11371 (L. 363). ,Ht. 12, , ,with references (note 2) to other representations. Another Campanian hydria in a private collection in 
919,Naples,22256,Ht. 9., , ,
920,Princeton,22782,Ht. 8., , ,
921,Toledo,6561, , , ,"a sleeved chiton and over it the aegis; the gorgoneion is concealed by her arm. The figures on the upper register serve to define the scene of action; to the left is the bust of the river god Ismenos (1MHNOZ),24 then comes the fountain-nymph Krenaia (KPHNAIH), and lastly, seated with her arm against the rock, is Thebe (0HBH) herself. Between Ismenos and Krenaia is a half sun's disk, a popular device with Paestan artists, which serves the combined purpose of indicating the time of day and filling up an otherwise empty space. Ismenos was the name of the river that flowed to the east of Thebes, the 'lo-unvoO OScop which Theseus (Euripides, Suppl. 383) directs his herald to cross in order to reach the city. Hofer (ML, ii 1412) took Krenaia to be the personification of the KprjvocTai lluAai, but this seems an unnecessary complic ation, as she is surely no more than the nymph of the spring (Kpr)vr\), of which the serpent was the guardian. The early artist drew in the whole well-house; Asteas has merely suggested the presence of the spring by the pitcher, the rock and the plants growing beside it, and, most important of all, by putting in the nymph herself. Pausanias (ix, 10, 5) says that the fountain was sacred to Ares, who placed the serpent there to guard it, and it seems to have been called Melia in antiquity, after a nymph by whom Apollo had two sons. Euripides (Phoen. 931 ff.), however, makes the serpent-guarded spring that of Dirke, which flows into the similarly named stream near by, for when Menoeceus sacrifices himself by cutting his throat on the battlements of Thebes, he falls down into the cave where the guardian serpent lives. On the reverse is another Dionysiac scene comparable to those on nos. 126-8, and following the same general scheme, but with only three busts in the upper register, the fourth being replaced by a palmette-fan in added white above the head of Dionysos. The side of the vase has unfortunately suffered a good deal at the hands of the restorer, especially in the upper level and on the silen to right. We may note the presence of a duck by Dionysos; it will reappear on many later vases. The pictures on both sides are framed between plain reserved bands; on the obverse there is a white cross-piece at the top, suggestive of a column-capital as on nos. 125 and 127. The drapery is again heavy and elaborate. Beneath the rather awkward-looking helmet of Athena appears in pale purple the cloth pad used to prevent the "
922,Perugia,11373 (L. 367). ,Ht. 21, , ,"Paestan artists in conjunction with purple draperies of any sort. Round her lower limbs is draped a himation with a chequered border, like that of Clytemnestra on no. 128. Her feet are apparently crossed, but the folds of the drapery have again gone astray, and the effect is wholly artificial. Cadmus wears a white pilos, and a chlamys hangs rather solidly down his back. The most elaborate drapery is reserved for Thebe, who wears a polos with a veil, an embroidered chiton with a palmette border and a himation bordered with wave-pattern. Her shoe, coloured with thinned glaze, is curiously pointed, and seems almost to be one with her drapery. On the reverse the decorations are much simpler, and confined to the usual dot-stripe. "
923,Paestum, MuM. ,Ht. 18, ,PLATE 143i ,
924,Once Swiss Market, Andre Emmerich Gallery GR 247. ,Ht. 17, , ,some pieces (notably in the area to left of Orestes and to right of the priestess) missing; the surface is badly worn on the left side of the obverse and the two figures 
925,Bochum,20144,Ht. 19, , ,
926,Paestum, from C. Spina,Ht. 6-, , ,"there are in very poor condition. The upper part of the amphora (mouth, neck and shoulder) and the foot are in better condition. The inscriptions which identify most of the figures on the obverse were in added white and have largely disappeared, though leaving still legible traces of the letters. The signature (AZZ  PA<t>E), of which the middle letters are now lost, is on the base in front of the column. The shape is most unusual for a Paestan neck-amphora; as in Campanian, in "
927,Paestum,11372 (L. 361). ,"Ht. 6,", , ,"neck-amphora normally had a wide open mouth with grooved rim, a tall slender "
928,Paestum,1011. ,Ht. 19, ,PLATE 143/ ,"joining the shoulder on either side, and a body tapering downwards to a compara tively low foot (cf. nos. 87-91). Here the mouth is funnel-shaped, very solid, with no projecting rim, a low and very narrow neck, thick twisted handles (cf. the neck-"
929,Paestum,2550 (inv. 82095),Ht. 16, , ,"240 and 963 below), a very clearly defined shoulder, decorated on the obverse with a figured scene, a markedly ovoid body, curving downward to a profiled foot in several degrees. In fact it has something of the appearance of a mixture between a neck-amphora and one of panathenaic shape; it might have been an experiment carried "
930,Paestum,79.3. ,Ht. 6-, , ,
931,Paestum,77.30. ,Ht. 4-, , ,"workshop of Asteas and Python. This particular shape does not seem to have met with local approval, since it is not repeated in any extant vase. The obverse represents Orestes at Delphi, a subject very popular with South Italian vase-painters,25 perhaps distantly reflecting the Oresteia of Aeschylus. In the centre is the omphalos, in front of a single column on a low flat base, which is probably meant to stand for the stylobate of the temple; a long-haired Orestes, with petasos, chlamys and sandals clutches it, with a backward turn of his head, in terror at the Fury above him, as he brandishes his sword. Beside him a half-draped youth bends slightly forward over his raised left foot, his right arm raised in a gesture of horror. Like Orestes he is not identified by an inscription but he is presumably Pylades, who appears on other vases representing this scene, notably Python's krater "
932,Paestum, private coll. ,Ht. 7-, , ,"Deissmann, p. 105, no. K37, pi. 23, 1). To right is the priestess (MANTIKAEIA), the temple-key in her left hand; her right is raised to indicate horror, like that of Pylades. She wears a chiton with a central stripe; across the lower part of her body is a short cloak with chequered border. The name is probably meant to indicate her oracular skill as priestess rather than to be a true name (cf. Manto on the lekythos no. 142 below). Above, seen as a row of half-figures, we have on the left Apollo (AFIOAAQN), laurel-crowned with a sceptre, then two Furies, Megaira and Allecto (MEI~AIPA; "
933,Paestum,26651,Ht. 5-, , ,"snakes in their hands. On the right is a bearded silen, a fawn-skin knotted round his throat, looking down on the scene below. The reverse follows the usual pattern—below, a nude youth between two standing draped women, the one to left wearing a peplos with a central dot-stripe, "
934,Paestum, Hec,Ht. 4-, , ,
935,New York Market, Ruhr,Ht. 4-, ,PLATE 144* ,
936,Tampa,20298,Ht. 4-, , ,
937,Turin,32130,Ht. 5-, , ,"the one to right enveloped in a himation with a dot-stripe border, both stock figures who reappear on many vases. Above are the busts of two women, both looking downwards. On the neck of the obverse is a siren, a bead necklace in one hand and a fillet in the other; on the reverse, a female head in profile to left, the hair done up in a black-dotted sphendone. There is a black bead necklace, and the shoulders are just visible, showing the fold-lines of the upper part of the peplos, as on many of the heads beneath the handles of hydriai (e.g. nos. 73-4, 76, 78). Below the neck panels on both sides is a band of alternating black and reserved rectangles, as on no. 129, perhaps meant to represent dentils. The shoulder on the obverse is decorated with a figured scene between two "
938,Paestum,20303. ,Ht. 5-, , ,"several of the minor vases, then a nude youth bending forward over his left foot, which rests upon a rock-pile, shown in added white relieved by diluted glaze; a woman seated on a similar rock-pile turns her head back in his direction. Towards her runs up a nude Eros, and behind him sits a woman enveloped in her himation, another figure we shall meet again on many of the smaller vases. The main pictures are framed between reserved bands; below the handles are superposed palmettes, with side-scrolls similar in form to framing palmettes, with palmette-fans also below the spirals at the base of the upper fan and at the bottom of the side-scrolls. The core of the lower fan is a series of triangles. The comparatively poor state of preservation of the obverse makes it difficult to "
939,Melbourne,20295. ,Ht. 4-, , ,would be difficult to regard this as one of the artist's more inspired works. 
940,Madrid,20296. , ,Diam. 19. , ,"This vase was found in a painted chamber-tomb excavated in the spring of 1967 in the area known as 'Contrada Vecchia' some 3 km. south-east of Agropoli.26 The side-walls of the tomb showed a scene of combat and a chariot race (of which very little survives), the end wall the return of a warrior. Two depositions had been made in the tomb, one slightly earlier than the other; the former included a bell-krater attributed to Asteas (20198; no. 173 below), two early r.f. fish-plates (20187-8, one by the Bastis Painter = GRFP,  no. IB/13, the other early Paestan = GRFP, no. IIIA/5, no. 924 below), and some vases decorated in applied red; the second, in addition to the hydria, included a lebes gamikos (20201, no. 185 below), a lekanis (20161, no. 150 below) both attributed to Asteas, a neck-amphora by one of his close associates (20199, no. 380 below) and a number of smaller items. The hydria was badly broken and much of the detail of the figures depicted upon it is no longer visible; the figures were all inscribed and the vase was signed with incised letters A(CTCTT£)A(S) E!~[pcx(pE) in the area just above the spot where the sticks of Bellerophon and Proitos cross. The  main  scene  represents  the  departure  of  Bellerophon "
941,Paestum,20301. ,"Ht. 5,", , ,"the cxr)uon-a Auypd for transmission to Iobates. To right Stheneboia (C0ENEBOIA) is seated on a klismos, her handmaid (AZZTYANAZ[ZA]) beside her. Above in a loggia, "
942,Paestum,20302. ,"Ht. 6,", , ,"territorio pestano', in Dial, di Arch. 8/2, 1974-5, pp. 231 ff. It is no. 13 on p. 230ff., figs. 16-17. The "
943,Once Basel Market,20293. ,Ht. 5-, , ,"similar to that on the Madness of Herakles krater (no. 127) may be seen the bust of Aphrodite (AOPOAITH) between those of two Furies, one inscribed  AAAEKO (Allecto). The scene appears on many other South Italian vases,27 but this is the only one which seems to have a direct connection with a stage performance, since all the characters wear elaborately patterned costumes and the loggia in the background is almost certainly (as on no. 127) inspired by the theatre. Pegasus does not appear in this version, but Stheneboia's maid is named for the first time. Astyanassa was also the name of Helen's servant in Sparta and Asteas may have used it as a generally "
944,Once Rome,21560,"Ht. 4,", , ,"that, as in his spelling of his own name, he doubles the first sigma. On the shoulder is a three-figured scene set into a rectangular panel framed by reserved bands. In the centre is a seated woman, dressed in a black tunic with the usual piece of drapery over the lower part of her body; in her left hand, she holds a mirror, in her right a phiale and a red fillet, which she extends in the direction of an "
945,New York Market, Royal,Ht. 5-, , ,"forward over his raised right foot. Beneath each of the side-handles is a predatory bird with open wings perched on a dotted rock; another bird appears above on the shoulder on each side of the figured panel. Below the back-handle are superposed palmettes, with side-scrolls, and 'Asteas flowers'. The rim of the mouth is decorated with reverse wave-pattern, the neck is tall and slender, with a reserved zone immediately below the mouth, a band of black and another decorated with laurel and a central flower. In style the vase stands close to the Cadmus krater (no. 132); Stheneboia may be compared with Thebe on that vase, and the bust of Aphrodite with the central one on its reverse. "
946,Geneva,(Florida),"Ht. 5,", , ,The Hesperides lekythos was found in the excavations of 1805 in the vicinity of the 
947,Melbourne, private coll. ,Ht. 6-, , ,"immediately afterward by Luigi Lanzi.28 The vase is intact and in excellent condition, the added white and the incised inscriptions almost perfectly preserved. Herakles was always a popular subject with the vase-painter, and not the least favoured of his labours is the quest for the golden apples of the Hesperides. The legend appears in two versions: the first, which is commoner on early vases, shows Herakles supporting the heavens while Atlas brings him the apples, the second shows him actually in the garden surrounded by the nymphs, and it is this version of the story which the later vase-painters prefer.29 "
948,Boston,21626,Ht. 6-, ,PLATE 144c ,
949,Once London Market, La Trobe University 85.01. ,Ht. 4-, , ,"pp. 95-106; for the connection with Euripides, Webster, Tragedies of Euripides, pp. 301-2 (with bibliographies of the relevant vases); IGD, pp. 102-3. "
950,Paestum,11444 (L. 436). ,Ht. 4-, , ,"account of the excavations and the objects found is given in a report by Felice Nicolas to the Minister Seratti of June 28, 1805 quoted in Doc. Ined. ii, pp. 54—9, in which the lekythos is mentioned on p. 56. "
951,Once London Market,26605,Ht. 6-, , ,"Devambez, Heracles: Images et Recits, pp. 120-2; Kerenyi, The Heroes of the Greeks, pp. 172-7. An as yet unpublished Apulian volute-krater by the Underworld Painter gives an unusual version of the legend; on the upper level are Peitho, Aphrodite, Selene, Pan and Athena, and below, a youthful Herakles, Atlas seated upon a throne with Ge standing beside him, a Hesperid and the apple-tree. The "
952,Once London Market,IV, ,Diam. 18. , ,"In the centre of our vase is the apple-tree, laden with golden fruit. Round it is "
953,Naples, MuM. ,Ht. 4-, , ,"the phiale held out to it by one of the nymphs. It has a small crest and a beard in purple-red, and a yellow body, white on the underside, with the scales outlined in thinned glaze. On the ground level are grouped three figures each side of the tree; two more appear above as busts. On the left stand Aiopis (AlfiFTlZ), whose left hand rests on the shoulder of Antheia (AN0EIA); the latter holds one of the apples up to her mouth. Beside her sits Calypso (KAAYYQ) on an elaborate white tendril. On the "
954,Los Angeles Market,Market. ,Ht. 4-, , ,"(hEPAKAHZ), who stands beside her, his right foot resting on a dotted mound, his lion-skin hanging down his back and his club and bow in his hand. He is here represented, as often in the quest for the golden apples, as a youth, and not as the "
955,Madrid, Royal,"Ht. 5,", , ,"Nelisa (NHA1ZA), who, like Antheia, is holding an apple up to her mouth. Above to left are the busts of Pan (cf. no. 39) and a woman with a veil, inscribed TAPA; to right, those of Hermes and a nymph inscribed AONAKIZ. Immediately above the tree, just below the flower in the centre of the shoulder ornament, is the incised inscription ' AcrCTTeaS Iypa9£, while to the left of the tree at the top is the inscription hZZTTEPIAZ, standing no doubt for Hesperides and analogous to the TTEPZAI on the Darius krater.30 Not all the names inscribed on this vase are easy of interpretation. Lanzi misread a number of them and took them to be Oscan, thereby obtaining rather peculiar interpretations for them. Herakles, Aiopis, Antheia or Calypso present no difficulties. Nelisa is not found elsewhere, and may be a corruption of Melissa; but what about Tdpoc, Mpixr)cra and Aovooas? The second appears just below the bust of Hermes, and one may reasonably conclude that the artist, intending to name the nymph who is gathering the apples, allowed his eye to wander to the bust above and "
956,Paestum, private coll. ,Ht. 6-, ,PLATE 144a1 ,"attribute more suited to a goddess than a nymph, or to a personification like Thebe on the Cadmus krater. Such an interpretation is in keeping also with the normal arrangement of the figures on an Asteas vase—the mortals on the lower register, and above them the gods or various personifications to localise the scene. The obvious explanation is to make the T into the aspirate sign h and the name into hAPA, a form of Hera in which an alpha has been substituted for the eta. Hera deserves a place in the story because the gardens of the Hesperides were given to her as a wedding present, and because it was she who caused the twelve labours to be imposed upon Herakles. Further, as the enemy of Herakles she makes a good counterpart to Hermes, the Helper, who balances her on the right side of the tree. The other figure is inscribed AONAKIZ, and balances Pan. Early authorities read the first two letters as A0 and tried to transform her into Athena, but the letters are AO, and she has none of the attributes of that goddess. Donakis is a name otherwise unknown; one naturally assumes, as Patroni did, some connection with 86vcc£ — a reed. She is probably not a Hesperid, for they are confined to the lower register, and as the figure who balances Pan, she may well be taken as the personification of a stream or lake "
957,Once Rome, G. Geddes coll. P 1,Ht. 4-, , ,syrinx. 
958,Paestum,19.309. ,Ht. 6-, , ,
959,Madrid, B.A. Seaby Ltd. ,Ht. 5-, ,PLATE 144 c ,"enlivened with a touch of white, runs round the neck immediately below the mouth, and beneath it a band of tongues spreads downwards on to the shoulder, which is decorated with berried laurel wreaths in added white meeting in a central flower. Beneath the handle are superposed palmette-fans with sprung central leaves and elaborate side-scrolls terminating in an 'Asteas flower'. On either side of the lower fan are leaves with serrated edges. The design is a splendid example of a balanced composition; in fact, one so symmetrical as to be almost monotonous. In the centre is the tree with the serpent; each side of it is a group of three full-length figures, with two busts above them. The only variation lies in the grouping of the threes, and even there Nelisa is posed very similarly to Aiopis, and holds up an apple to her mouth like Antheia. The symmetry is emphasised by an almost isokephalic arrangement, despite the fact that not all the figures are standing, by the virtual absence of any connecting links between them, and by the fact that they all face the tree with their heads seen in profile. The drapery is the heavy, elaborately-patterned kind that is particularly dear to Asteas and his followers, and on this vase almost the whole repertory of patterns appears—stars and circles on the body of the garment, wave-pattern, palmettes, chequers and engrailing for the borders. Stripes run down the middle of the front of the chiton—plain with yellow beads or else in a fish-bone pattern. The drapery itself "
960,Pontecagnano,21481,"Ht. 6,", , ,"very mechanical way, with little regard for the actual position of the limbs. For instance, Aiopis, Nelisa and the apple-gatherer all have one leg drawn back, and yet the folds of their drapery fall in vertical lines to the ground as if both feet were placed flat together on it. The drapery of Calypso is very clumsy, especially about the waist and shoulder, and gives her the appearance of being wrapped up in it. Hermine Speier (RM 47, 1932, p. 57) points out changes that were taking place in sculptural poses and drapery in the second quarter of the fourth century B.C. and draws a good parallel between the figure of Athena on a documentary relief dating to the archonship of Molon in 362/1 and that of Aiopis on the Asteas lekythos (op. cit., pis. 21,1 and 2). We might, therefore, reasonably expect this vase to be dated late in that quarter of the century, contemporary with the bell-kraters and hydriai in the preceding chapter, which yield many parallels in both pose and drapery to the figures on the lekythos.31 The hair is for the most part rendered en masse, and is often done up with an elaborate head-band; if long, it hangs down on to the shoulders, with individual curls appearing only at the ends, and without relief lines to emphasise them. The very straight line for the back of Herakles is characteristic of the work of Asteas, especially for figures in this pose. The fired clay of the vase is far darker than that generally used by Asteas, with the result that the adjuncts in white and yellow show up more clearly, and the white of the serpent in the middle and of the apples on the tree makes a good contrast with the otherwise rather sober colouring. "
961,Madrid, Charles Ede Ltd. ,"Ht. 6,", , ,"signature only on his more monumental works, with mythological or theatrical subjects, or else on those phlyax vases which seem to draw their inspiration direct "
962,Paestum, Charles Ede Ltd. ,"Ht. 8,", ,PLATE 144/ ,31 E.g. cf. the white dots down the sleeves on no. 35; the bent leg of the woman on no. 43; the female 
963,Port Sunlight,786 (inv. 82760). , , , ,"masterpieces and, while it is possible to find some merit in the phlyax scenes, the other compositions are over-pretentious and cannot really be regarded as successful. One feels he is much more at home with the simpler two- and three-figure "
964,Berlin, Barakat Gallery PF 87. ,Ht. 6-, , ,"earlier vases have a measure of vivacity (e.g. nos. 19, 24, 26, 35), a sense of movement and of humour that is hard to find in his later and more developed works. "
965,Boston,11391 (L. 492). ,Ht. 7-, , ,"phase of his career, which perhaps explains the greater liveliness of their treatment. Three of the vases with dramatic representations (nos. 127-8, 133) have about them "
966,San Francisco,5052,"Ht. 6,", , ,"centre in a highly theatrical pose, flanked by elaborately-costumed characters making conventional gestures (cf. with Python's Alkmene krater, no. 239). Even some of the other vases (the Cadmus krater, the Stheneboia hydria and the Hesperides lekythos) produce a not dissimilar effect, and the apparent difference in the scene on the Europa krater is probably due to the fact that it is taking place over the sea and that the busts and half-length figures are relegated to the two triangular spaces at the top. The reverses of his kraters tend to show an even more symmetrical, one might almost say monotonous, system of composition. On nos. 126-8 it follows the formula "
967,Leningrad,Market. ,Ht. 91, ,PLATE 145 ,"formula is used not only for the reverses of no. 129, where the lower level follows it exactly, but the upper has five busts separated by a reserved stripe, and of nos. 132-3, where the number of busts in the upper level is reduced, but also for the obverse designs of nos. 127, 128, 133 and for that on no. 135. In most cases the figures "
968,Sydney,5401,Ht. 46, ,PLATE 146 ,"the Stheneboia hydria try to avoid the artificial appearance of the row of busts by placing them in a loggia above the scene of action and thus to some extent integrating them into the whole structural scheme. On the Cadmus krater (no. 132) Thebe appears as a full-scale figure and not a bust, thus linking the two registers, and the Europa krater (no. 129) uses a new and original method of accommodating the supporting figures, with a rather curious result. It must be admitted that compo "
969,Brussels,11241 (L. 404). ,Ht. 65, ,PLATE 147 ,"same weakness in that of his colleague Python. His strong predilection for rigidly symmetrical compositions tends to give them a lifeless and artificial look; there are ready parallels to be found in the naiskos- and stele-scenes of later Apulian, which also make one wish for the freer disposition of the figures on the earlier kraters. If there is not much variety in the composition of his designs, there is, on the whole, even less in the figures which comprise them, since, in common with many other Italiote artists, Asteas has a habit of repeating his figures on different vases. He was quite capable of producing good, vigorous and original work, as the Cassandra fragment shows; but he is far too prone to allow his work to become mechanical, and the gestures of his figures often appear rather meaningless or purely conventional. "
970,Sydney, from T. 3711,Ht. 17, ,"PLATE U8a,b ","often he neglects it and makes elementary mistakes in the treatment of folds, etc., with the result that it tends to look heavy and lifeless. The expressions on the faces of his characters show a similar lifelessness; often in scenes of some emotion they appear almost frozen, and that is why the Cassandra fragment stands out so much above the other vases, for there is real feeling expressed in the faces of the three figures on it. His happiest results in this direction seem to have been attained on vases with comic subjects. Attention has already been drawn to the number of stock figures which appeared on the earlier and usually less elaborate vases of Asteas; these we find repeated on the signed ones, especially on the reverses of the kraters, where the Dionysiac scenes are merely larger-scale versions of those on the vases in Chapter IV. These include the running figure, male or female, with arms spread out, the standing draped woman, the male figure bending forward over one raised foot, and the bearded silen. The following minor features of his drawing are worth noting: a tendency to arch the eyebrow well above the eye, instead of using three almost parallel strokes like Python; the highlighting of the eye with a touch of white; the straight forehead-nose line (very noticeable on the Hesperides lekythos) and the curving line to mark the nostril; the flat line of the back, when a figure is bending forward over a raised leg (as with Dionysos on the reverse of no. 128 or Herakles on no. 135—cf. also nos. 74—5, 93—4); the careful rendering of hands and figures, with a tendency to taper the latter off to rather sharp points. Asteas seldom draws heads in any but a profile view; his three-quarter faces (Helle, the mad Herakles, the silen on the reverse of no. 127) show that he can, in fact, render them with considerable skill and effect, and it is rather surprising that he makes so little use of them and never of a completely frontal face. Relief lines are generally used for the hair, but on the less important characters, it may simply be blocked in on the head, with a mass of curls falling down onto the shoulders. He continues his use of dot-striped drapery, so "
971,Naples,11454 (L. 446). ,Ht. 5-, , ,"far more elaborate garments, with embroidered patterns, bordered with chequers or rays. There is a good deal of added colour—red, yellow, orange and white—and diluted glaze is used effectively on fawn-skins and on the bodies of birds or marine creatures. "
972,Vienna,5045,Ht. 11, ,PLATE 1494c ,could hardly be dated much before the middle of the fourth century and the others 
973,Benevento,5043 (ex Hope 265). ,Ht. 55, ,"PLATE 148c,d ",
974,Benevento,3025,Ht. 49, ,PLATE 149 a-c ,The two preceding chapters dealt with the earlier work of Asteas and the eleven 
975,Vienna,99.540,Ht. 50, ,PLATE 150 ,
976,Turin, M.H. de Young Museum 225.24865. ,Ht. 56, ,PLATE 151 a-d ,"together with others closely related to them in style. In PP many of these vases were assigned to an 'Asteas Group'; the evidence provided by the material which has recently come to light suggests that most of them are probably by Asteas himself, especially in view of the rendering of the draped youths on their reverses. Others can "
977,Buffalo,inv. 360 (St. 1087). ,Ht. 15, ,PLATE 151 c ,"previously been established. Sometimes the vases fall into small sub-groups in which the individual items which compose them are linked together by some repeated feature, like the black and red drapery on nos. 152-64, and these may be the work of close imitators rather than of the painter himself. The work of Python, who is a very "
978,Brussels,48,Ht. 32, ,"PLATE 152 c, a1 ","latter, although the new vases have made an important contribution to this end for those of larger dimensions. The smaller vases, however, decorated with single figures or female heads have been mostly grouped together in Chapter IX as minor products of the Asteas-Python workshop. The vases dealt with in this chapter fall into two main categories. In the first, the subjects, whether Dionysiac or mythological, are treated in a more elaborate manner, with multi-figured compositions in which the principal characters wear richly-patterned garments; in the second the compositions are simpler, usually with only two figures, and carry on the tradition of his earlier work, as exemplified by the vases discussed in Chapter IV. "
979,Vatican,160a,Ht. 41, ,"PLATE 153a,o ","(i) Dionysiac The vases in this division all have Dionysiac subjects, comparable to those on the reverses of the signed kraters nos. 125-6, 128-9, 132-3 in Chapter V. (a) Calyx-kraters "
980,Louvre,261. ,Ht. 31, ,"PLATE 153 c, a","PPSupp, no. 44, pi. 3. [a) Below—three maenads and a bearded silen; above—bearded silen bending forward with wreath and thyrsus (lower part not visible), bust of woman facing him. [b) variant of Al + A2, with spray; both with sticks in 1. hand. "
981,Turin,48.06 (ex Hope 269). ,Ht. 43, , ,"Napoli, Tomba del Tuffatore, p. 164, figs. 88-90. [a) Half-draped Dionysos seated on a palmette beside a table, with phiale in r. hand and thyrsus in 1., between to 1. a bearded silen, who leans forward in front of him, with the reed of a flute in his r. hand, a phiale and wreath in his 1., and a thyrsus, and to r. a standing maenad, with an egg in her r. hand and thyrsus in 1.; suspended above is a white female mask (Type "
982,Lisbon,1793 (inv. 81930). ,Ht. 45, ,PLATE 154 a,Skyphos 
983,Vienna,622. ,Ht. 44, , ,
984,Vienna,601 S (348 xix), , , ,"pp. 150-1. [a) Below—Dionysos seated to r. between maenad and papposilen; above—busts of two women and a silen, [b) nude youth between two draped women; above to 1., bust of woman. The reverse is in bad condition and much of the surface on the r. side is worn away. "
985,Louvre,28497,Ht. 42, , ,
986,Louvre,964. ,"Ht. 7,", ,PLATE 155c ,Above—busts of two women; below—nude youth with wreath between two draped women. 
987,Naples,4700. , , , ,
